,name,asset_ownership_name,latitude,longitude,asset_type,country
1313,Tan Phuoc power station,Vietnam Electricity (EVN),10.5090611,106.1496248,oil_and_gas_plant,Viet Nam
1314,Middletown Coke Company power station,SunCoke Energy Inc,39.472222,-84.40139,oil_and_gas_plant,United States
1315,Huaneng Jiangyin Gas Thermal power station,Huaneng Jiangyin Gas Turbine Thermal Power Co Ltd,31.759171,120.385457,oil_and_gas_plant,China
1316,Taweelah A2 power plant,Total Tractebel Emirates O&M Co SA,24.761042,54.682576,oil_and_gas_plant,United Arab Emirates
1317,Yoshinoura thermal power plant,Okinawa Electric Power Co Inc,26.2767,127.8132,oil_and_gas_plant,Japan
1318,Atacama power station,Enel Generación Chile SA,-23.0898,-70.4168,oil_and_gas_plant,Chile
1319,Maheshkhali power station (BPDB/TNB),Tenaga Nasional Bhd,21.629105,91.9002,oil_and_gas_plant,Bangladesh
1320,Powertek power station,Powertek Bhd,2.34558654830775,102.050543885781,oil_and_gas_plant,
1321,Hope Town power station,NTPC Ltd,11.7060719522803,92.736766273015,oil_and_gas_plant,India
1322,Barry Steam Plant,Alabama Power Co,31.0069,-88.0103,oil_and_gas_plant,United States
1323,Glow Energy Phase 5 power station,Glow Energy PCL,12.6779,101.1356,oil_and_gas_plant,Thailand
1324,Manzanillo Power Land power station,Energía 2000 SRL,19.68089,-71.69965,oil_and_gas_plant,Dominican Republic
1325,GNA II power station,BP PLC,-21.838643,-41.015863,oil_and_gas_plant,Brazil
1326,Darlington County power station,Duke Energy Progress LLC,34.4185,-80.1657,oil_and_gas_plant,United States
1327,Nearman Creek power station,City of Kansas City - (KS),39.1681,-94.6975,oil_and_gas_plant,United States
1328,Al- Yusufiyah power plant,Ministry of Electricity (Iraq),33.091434,44.116158,oil_and_gas_plant,Iraq
1329,Shin Goi power station,ENEOS Corp,35.546922,140.072506,oil_and_gas_plant,Japan
1330,Cumberland (NJ) power station,Calpine New Jersey Generation LLC,39.3757,-74.9654,oil_and_gas_plant,United States
1331,Nanko power station,Kansai Electric Power Co,34.616112,135.404557,oil_and_gas_plant,
1332,San Roque 1 power station,Endesa SA,36.19564,-5.41363,oil_and_gas_plant,Spain
1333,Grati power station,PT Indonesia Power,-7.6517,113.0244,oil_and_gas_plant,Indonesia
1334,Raccoon Creek energy center,Union Electric Co,38.6996,-88.5392,oil_and_gas_plant,United States
1335,Lombok Peaker power station,PT PLN (Persero),-8.58958,116.074409,oil_and_gas_plant,Indonesia
1336,Auraiya Combined Cycle power plant,NTPC Ltd,26.6282,79.5286,oil_and_gas_plant,India
1337,Tipitapa power station,Tipitapa Power Co Ltd,12.1698,-86.1052,oil_and_gas_plant,Nicaragua
1338,Kazeroon power station,South Fars Power Generation Management Co,29.562836,51.695857,oil_and_gas_plant,"Iran, Islamic Republic of"
1339,Huangtai power station,Huaneng Jinan Huangtai Power Generation Co Ltd,36.70776,117.08796,oil_and_gas_plant,China
1340,Kimanis power station,Kimanis Power Sdn Bhd,5.6483,115.8897,oil_and_gas_plant,Malaysia
1341,Fairgrounds power station,Union Electric Co - (MO),38.5935,-92.2206,oil_and_gas_plant,United States
1342,Perryman power station,Constellation Power Source Generation LLC,39.442836,-76.221761,oil_and_gas_plant,United States
1343,Front Range power plant,City of Colorado Springs - (CO),38.6281,-104.7069,oil_and_gas_plant,United States
1344,Naco Nogales power station,Naturgy México SA de CV,31.222222,-109.608056,oil_and_gas_plant,Mexico
1345,Jeeralang power station,EnergyAustralia Ecogen Pty Ltd,-38.2750275,146.4232982,oil_and_gas_plant,Australia
1346,Antonio Nicolás Briceño power station,Corporación Eléctrica Nacional (Venezuela) SA,9.783648,-71.077218,oil_and_gas_plant,
1347,Beijing Energy Sun Palace Gas Thermal power station,Beijing Taiyanggong Gas Thermal Power Co Ltd,39.978557,116.438761,oil_and_gas_plant,China
1348,Gulf NPM power station,Gulf MP Co Ltd,14.36647,100.836403,oil_and_gas_plant,Thailand
1349,CPIH Chongzuo Distributed Gas power station,China Power International Development Co Ltd,22.406471,107.433517,oil_and_gas_plant,China
1350,International Paper Savannah Mill,International Paper Co,32.100354,-81.12425,oil_and_gas_plant,United States
1351,Los Mina power station,AES Dominicana,18.499396,-69.868562,oil_and_gas_plant,Dominican Republic
1352,DeCordova Steam Electric Station,DeCordova Power Co LLC,32.403056,-97.70056,oil_and_gas_plant,United States
1353,Baja California III power station,Mexico Infrastructure Partners SAPI de CV,31.992311,-116.854077,oil_and_gas_plant,Mexico
1354,Francisco Villa power station,Comisión Federal de Electricidad EPE,28.168202,-105.441828,oil_and_gas_plant,Mexico
1355,Toyama Thermal power station,Hokuriku Electric Power Co,36.7629913621942,137.127059628158,oil_and_gas_plant,Japan
1356,Zubair Field power station,Eni Iraq,30.4056537,47.5891061,oil_and_gas_plant,Iraq
1357,Mintaro GT power station,Synergen Power Pty Ltd,-33.9032,138.7382,oil_and_gas_plant,Australia
1358,Timbúes power station,AES Argentina Generación SA,-32.577915,-60.790519,oil_and_gas_plant,Argentina
1359,Atherinolakkos power station,Public Power Corporation SA,35.00265,26.13852,oil_and_gas_plant,Greece
1360,Aksa Antalya power station,Aksa Enerji Uretim AŞ,37.1203,30.6016,oil_and_gas_plant,
1361,Deerhaven Generating Station,Gainesville Regional Utilities,29.7592,-82.3878,oil_and_gas_plant,United States
1362,Kardia power station,Public Power Corporation SA,40.410625,21.786145,oil_and_gas_plant,Greece
1363,San Pedro power station (Argentina),SPI Energy SA,-33.777779,-59.728923,oil_and_gas_plant,Argentina
1364,Waiau power station,Hawaiian Electric Co Inc,21.388997,-157.961518,oil_and_gas_plant,United States
1365,Mountainview generating station,Southern California Edison Co,34.0818,-117.2418,oil_and_gas_plant,United States
